,Unnamed: 0,Commodity,Country,UNIT_DESC,Year,AMOUNT,Metric Tons
46971,179401,Beef,Mexico,CWE,2007,1524892.94496,69169.1439833856
46972,179402,Beef,Mexico,CWE,2007,1605033.159282,72804.30410503152
46973,179531,Pork,Mexico,KG,2007,383492.0,383.49199999999996
46974,179532,Pork,Mexico,KG,2007,433846.0,433.846
46975,179533,Pork,Mexico,KG,2007,417972.0,417.972
46976,179564,Pork,Mexico,KG,2007,348777.0,348.777
46977,179565,Pork,Mexico,KG,2007,418102.0,418.102
46978,179566,Pork,Mexico,KG,2007,355301.0,355.301
46979,180701,Beef,Mexico,KG,2007,33435.0,33.435
46980,180928,Beef,Mexico,KG,2007,16765.0,16.765
46981,182872,Pork,Mexico,KG,2007,13826.0,13.825999999999999
46982,182873,Pork,Mexico,KG,2007,16492.0,16.492
46983,182874,Pork,Mexico,KG,2007,32133.0,32.133
46984,182895,Pork,Mexico,CWE,2007,19319.102586,876.31449330096
46985,182896,Pork,Mexico,CWE,2007,32315.349276,1465.82424315936
46986,184159,Pork,Mexico,CWE,2007,2264.146794,102.70169857584
46987,184160,Pork,Mexico,CWE,2007,6909.285348,313.40518338528
46988,184161,Pork,Mexico,CWE,2007,1179.47277,53.50088484719999
46989,184189,Pork,Mexico,CWE,2007,14061.079116,637.8105487017599
46990,184190,Pork,Mexico,CWE,2007,5791.541994,262.70434484784
46991,186013,Pork,Mexico,KG,2007,126453.0,126.45299999999999
46992,186014,Pork,Mexico,KG,2007,116849.0,116.84899999999999
46993,186015,Pork,Mexico,KG,2007,175376.0,175.37599999999998
46994,186031,Pork,Mexico,KG,2007,112278.0,112.27799999999999
46995,186032,Pork,Mexico,KG,2007,132500.0,132.5
46996,186033,Pork,Mexico,KG,2007,128833.0,128.833
46997,186080,Pork,Mexico,KG,2007,127916.0,127.916
46998,186081,Pork,Mexico,KG,2007,139750.0,139.75
46999,186082,Pork,Mexico,KG,2007,140792.0,140.792
47000,186083,Pork,Mexico,KG,2007,153284.0,153.284
47001,186084,Pork,Mexico,KG,2007,155027.0,155.02700000000004
47002,186168,Pork,Mexico,CWE,2007,282006.427752,12791.81156283072
47003,186169,Pork,Mexico,CWE,2007,278781.065766,12645.509143145757
47004,186170,Pork,Mexico,CWE,2007,215204.17653000003,9761.6614474008
47005,186171,Pork,Mexico,CWE,2007,337933.278648,15328.653519473279
47006,186172,Pork,Mexico,CWE,2007,341775.934794,15502.95640225584
47007,186173,Pork,Mexico,CWE,2007,386637.787872,17537.890057873916
47008,186216,Pork,Mexico,CWE,2007,310393.140624,14079.432858704638
47009,189507,Chicken,Mexico,KG,2007,7256.0,7.256
47010,189508,Chicken,Mexico,KG,2007,34681.0,34.681
47011,189611,Chicken,Mexico,KG,2007,16154.0,16.154
47012,189612,Chicken,Mexico,KG,2007,8435.0,8.435
47013,189620,Chicken,Mexico,CWE,2007,35613.463788,1615.4267174236802
47014,189621,Chicken,Mexico,CWE,2007,34431.786396,1561.8258309225598
47015,189622,Chicken,Mexico,CWE,2007,86621.803002,3929.1649841707203
47016,189781,Beef,Mexico,KG,2007,7100.0,7.1000000000000005
47017,191178,Beef,Mexico,KG,2007,3190.0,3.19
47018,191179,Beef,Mexico,KG,2007,41316.0,41.316
47019,191180,Beef,Mexico,KG,2007,64522.0,64.52199999999999
47020,191181,Beef,Mexico,KG,2007,27568.0,27.568
47021,191570,Pork,Mexico,KG,2007,8043.0,8.043000000000001
47022,191571,Pork,Mexico,KG,2007,12432.0,12.432
47023,191572,Pork,Mexico,KG,2007,14778.0,14.777999999999999
47024,191573,Pork,Mexico,KG,2007,9969.0,9.969
47025,191619,Pork,Mexico,CWE,2007,42245.38564218,1916.2506927292848
47026,197239,Beef,Mexico,NO,2007,16919.0,16919.0
47027,197240,Beef,Mexico,NO,2007,61529.0,61529.0
